id,val1,val2
98996,70,112
98996,39,218
98996,72,60
98996,79,9
98996,52,420
98996,30,26
98996,89,313
98996,35,225
98996,84,352
98996,20,240
86854,94,339
86854,82,79
86854,27,302
86854,71,338
86854,6,295
86854,14,77
86854,29,314
86854,6,154
86854,5,116
86854,72,102
99969,88,239
99969,67,480
99969,81,347
99969,23,397
99969,84,313
99969,32,68
99969,46,44
99969,91,333
99969,34,81
99969,47,399
41006,48,218
41006,17,20
41006,16,467
41006,80,65
41006,12,106
41006,80,235
41006,22,29
41006,77,486
41006,17,39
41006,30,254
35247,28,41
35247,33,187
35247,72,330
35247,58,216
35247,31,65
35247,69,473
35247,23,85
35247,93,498
35247,93,275
35247,38,17
